provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
salta	la candelaria	37	2052	49	6	2288	4432	4340
salta	la poma	25	511	12	0	555	1103	1066
salta	la vina	45	3505	52	6	2502	6110	6007
salta	los andes	33	2535	66	11	1642	4287	4177
salta	metan	236	14023	315	25	11824	26423	25847
salta	molinos	37	1813	41	3	1776	3670	3589
salta	oran	738	45677	605	82	38492	85594	84169
salta	rivadavia	91	4001	67	24	12708	16891	16709
salta	rosario de la frontera	202	9502	201	19	9863	19787	19365
salta	rosario de lerma	296	19207	376	28	10945	30852	30152
salta	san carlos	38	2072	48	4	2296	4458	4368
san juan	25 de mayo	103	4977	92	2	5566	10740	10543
san juan	9 de julio	48	3868	77	6	2777	6776	6645
san juan	albardon	262	10287	242	10	6889	17690	17176
san juan	angaco	53	3823	98	3	2561	6538	6384
san juan	calingasta	105	3453	146	0	2097	5801	5550
san juan	capital	928	49940	1100	65	21003	73036	70943
san juan	caucete	186	11865	313	281	11396	24041	23261
san juan	chimbas	559	30239	983	56	23596	55433	53835
san juan	iglesia	84	3013	100	4	2219	5420	5232
san juan	jachal	185	6529	315	25	8688	15742	15217
san juan	pocito	500	22649	599	27	14662	38437	37311
san juan	rawson	814	45364	1367	98	28621	76264	73985
san juan	rivadavia	685	36812	996	54	19920	58467	56732
san juan	san martin	92	4437	145	3	3799	8476	8236
san juan	santa lucia	350	22557	608	25	10998	34538	33555
san juan	sarmiento	201	8656	213	1	6285	15356	14941
san juan	ullum	54	1470	24	5	2476	4029	3946
san juan	valle fertil	46	2634	77	1	2317	5075	4951
san juan	zonda	33	1856	50	0	1948	3887	3804
san luis	ayacucho	165	7875	222	3	5858	14123	13733
san luis	belgrano	31	1886	35	0	1353	3305	3239
san luis	chacabuco	231	9909	282	1	5716	16139	15625
san luis	coronel pringles	126	6378	205	25	3605	10339	9983
san luis	general pedernera	1036	64122	1754	39	24615	91566	88737
san luis	gobernador dupuy	83	4976	74	3	3087	8223	8063
san luis	la capital	1931	101846	2961	150	45988	152876	147834
san luis	junin	439	15111	609	21	8757	24937	23868
san luis	libertador general san martin	35	1675	60	1	1659	3430	3334
santa cruz	corpen aike	56	4869	140	0	3298	8363	8167
santa cruz	deseado	622	38398	1561	20	29078	69679	67476
santa cruz	guer aike	870	43996	1872	23	29724	76485	73720
santa cruz	lago argentino	204	7347	370	6	6975	14902	14322
